chapter,word
4,emulators
6,ruled
6,experiments
4,the
4,selection
2,facilitator
3,all
3,of
3,with
5,of
5,convergence
7,as
5,corresponding
5,implaus2
2,fulfilled
4,we
6,scenario
4,give
4,the
7,in
5,the
6,and
5,later
2,have
6,could
3,equation
3,simulations
6,may
7,properties
5,for
5,local
2,in
4,mean
4,function
5,more
3,example
6,emulator
5,optimisers
4,assume
6,points
2,a
2,is
7,to
6,for
4,techniques
5,maximisation
2,values
5,the
6,approximation
4,y
3,of
3,sensors
4,computer
3,straightforward
5,green
5,the
6,be
6,our
6,on
6,is
7,perhaps
1,performing
4,the
3,be
6,equation
4,mode
3,some
3,of
2,via
3,expensive
5,the
4,centred
7,greatly
2,is
5,a
5,incorrect
6,had
2,modelling
7,we
3,we
2,warehouse
1,into
2,available
4,cheap
6,make
1,just
6,value
3,d
5,emulation
2,is
3,of
6,settings
3,pairs
6,phrasing
5,the
5,are
6,long
3,money
4,to
6,utility
1,code
3,1
6,will
4,means
2,an
6,exhausted
3,schemes
6,slpe
2,readily
4,a
4,the
7,investigate
5,with
3,so
5,k
2,the
5,advocate
4,adequate
2,utility
5,this
6,most
4,extracted
3,deterministic
1,equivalent
5,methods
2,as
5,efficiency
2,problems
4,pattern
3,a
7,was
6,label
5,least
6,are
5,is
5,different
4,in
6,for
4,simulator
6,prior
6,the
3,by
2,u_j
3,mean
3,function
6,table
4,in
3,into
6,to
3,construct
5,emulator
6,via
6,since
6,the
5,the
4,align
6,be
5,a
6,constructing
2,the
7,that
7,the
6,analysis
5,parameter
4,an
4,more
5,the
5,warning
6,history
4,to
2,to
5,it
1,hypothetical
4,they
5,are
1,is
4,the
5,small
5,previous
2,intensity
2,a
3,is
4,approach
6,the
2,statements
4,process
6,downtime
5,nature
4,series
6,app:resid1
3,conditional
3,a
4,all
3,small
2,monotonically
6,using
4,of
6,for
4,emulator
5,or
2,wise
2,r
2,further
4,align
6,find
6,waves
2,component
1,literature
4,thus
5,by
4,using
3,usually
2,_j
4,for
6,our
3,within
5,annealing
5,once
3,a
5,single
3,simplified
1,an
5,uncertainty
5,is
6,for
5,shown
2,first
7,wind
5,to
6,only
3,prediction
3,where
3,and
6,widths
3,will
4,for
6,which
3,deterministic
6,dm
2,in
6,placed
5,of
5,a
5,that
7,analysis
3,these
4,simulator
6,the
3,of
5,is
6,u_1
6,figure
2,this
6,when
4,then
5,has
7,example
6,of
6,given
5,began
5,hm
7,represents
6,stage
5,best
5,ei
2,then
5,a
2,h
3,to
4,reducing
5,black
4,each
2,more
5,slice
6,led
5,may
5,many
5,corresponds
5,was
3,approximations
6,that
6,be
2,cables
5,that
4,inkennedy2000
4,x
1,over
5,input
2,above
3,others
1,emulator
4,in
4,this
3,how
5,do
4,were
6,each
6,however
2,utilities
6,alm
3,h
6,we
6,the
6,decisions
2,three
6,a
5,two
5,too
2,greatly
2,lottery
2,experts
5,green
2,values
4,a
4,that
2,others
3,posterior.pdf
3,weakly
3,is
6,the
4,used
6,sampling
3,from
4,the
5,at
4,_v
2,can
4,quantification
6,left
2,function
5,the
5,decision
2,figure
3,mean
4,namely
6,but
5,to
6,step
4,where
3,useful
4,in
5,factor
3,a
6,that
2,decision
6,two
3,but
6,red
2,towards
4,as
2,that
6,and
6,we
4,posterior
3,the
5,is
2,exponentially
4,form
2,the
4,of
5,and
3,f
5,challenging
3,riemann
2,if
3,design
3,each
3,would
5,to
4,a
4,log
5,due
4,penalised
6,table
4,using
5,be
5,where
6,almb
1,in
5,prior
6,function
6,aims
5,be
1,theory
6,wave
3,stationary
4,surrogates
2,is
3,have
2,a
7,warehouse
5,values
2,to
6,the
1,despite
5,this
6,for
6,loo
6,it
6,inttusar2022
3,this
2,if
6,other
2,ch:background
6,rule
7,for
5,expensive
5,much
3,and
7,our
5,pareto
6,of
2,cannot
4,number
6,hoc
4,illustrative
1,distribution
6,be
7,of
3,function
6,of
6,in
3,might
5,properties
5,utility
4,0
5,the
7,then
2,desirable
6,to
4,2_v
6,however
7,parameters
6,experiment
4,adequate
4,x
3,of
2,which
5,to
6,data
3,throughout
6,for
5,the
6,is
6,the
5,decisions
3,inappropriate
4,two
6,the
1,decision
4,is
2,turbines
4,outline
2,will
7,for
6,almnomean
6,apart
5,hm
6,be
1,data
6,out
6,and
6,simplex
3,been
4,with
5,problem
4,three
7,of
5,if
6,of
6,rest
3,inputs
6,on
6,of
4,same
4,approach
6,note
5,the
3,we
4,about
4,we
6,decisions
1,biological
2,elicitation
2,output
3,figure
6,is
1,athena
3,where
2,software
7,knowledge
6,to
6,for
6,by
6,to
6,decisions
3,cheap
4,are
1,then
4,emulators
7,evaluate
3,i
5,is
6,a
6,a
6,essentially
3,output
4,the
4,the
6,are
4,the
1,stochastic
1,in
4,equation
4,also
4,using
5,sequential
6,points
5,of
5,consider
5,set
5,to
3,of
3,next
1,coast
5,are
3,reduction
5,problems
7,the
2,be
3,is
2,an
3,of
5,represents
5,implausibility
5,allocate
4,both
2,1w_1
3,to
5,of
7,considered
4,flattens
3,of
5,decision
4,used
7,single
3,approximately
5,can
5,proposed
6,the
1,to
5,pi
6,to
2,spare
3,is
4,such
1,more
4,how
6,uncertainty
1,athena
6,nroy
5,intractable
2,dm
2,thesis
7,than
5,make
2,within
6,both
7,is
7,thus
4,face
6,is
2,single
2,app
2,than
5,tuning
5,the
2,rational
4,is
4,not
4,this
5,decision
3,bayes
5,in
5,the
2,preferences
4,non
5,a
5,function
2,is
2,of
1,may
2,and
5,of
6,can
6,the
7,athena
6,verify
5,measure
3,captures
5,or
2,the
2,into
3,not
6,large
6,the
5,in
2,task
6,can
3,produces
3,we
5,graph2
4,to
1,within
6,order
5,deterministic
6,would
3,one
3,approaches
6,need
5,from
2,we
6,must
4,of
6,plots
2,a
5,presented
4,sml
5,where
5,the
1,we
2,a
5,value
3,of
1,future
2,is
3,and
2,dm
3,up
6,reasonable
4,to
3,sequential
4,emulator
5,jointly
5,set
2,events
5,optimisation
4,stochastic
4,for
4,easy
4,2
5,of
4,align
4,and
2,the
5,will
4,emulation
3,presented
6,specify
5,consider
6,this
2,well
6,on
1,a
4,of
3,the
6,l
5,acquisition
5,and
4,fit
2,even
7,availability
4,that
2,turbines
2,used
2,simple
6,have
4,estimate
5,right
3,in
3,2
6,assume
6,be
6,methodology
5,is
6,all
5,generated
4,and
2,at
4,note
3,in
6,squares
1,provide
6,then
2,uncertain
3,note
2,quantity
3,task
6,based
6,other
5,particular
3,the
3,we
3,require
4,estimate
3,and
2,weighting
6,is
3,provide
3,function
3,recovers
6,matching
7,the
3,1
6,consequence
3,to
5,posterior
1,on
4,interest
5,defn
2,individual's
4,pmatrix
7,this
6,each
5,centred
7,equation
2,framework
3,a
4,in
7,stakeholders
6,the
4,of
6,and
5,satisfying
4,statistical
2,it
6,procedure
2,the
1,uq
3,we
3,a
4,other
4,modelling
5,we
6,therefore
5,to
5,evaluations
4,a
4,recall
6,continuous
4,termproth2022
5,optimal
6,but
5,simulations
3,gps
6,first
6,priors
6,reflection
6,to
4,diffuse
6,solution
2,event
5,sufficiently
3,would
2,enumerate
6,almb
7,plainly
4,point
2,inputs
6,space
6,we
3,probability
1,to
6,determine
3,of
2,is
5,numbers
5,front
5,the
3,the
3,gp
5,high
2,this
6,large
6,either
6,which
2,several
3,we
5,biases
2,t
5,serves
4,approximately
3,such
7,of
7,was
1,contribution
4,2
5,the
4,stochastic
4,in
4,ch:emulators
2,c
5,not
2,from
6,the
3,inverting
4,in
3,posteriori
4,hetgp
5,of
5,there
6,a
1,into
3,to
4,nature
4,athena
3,found
6,approach
3,mean
6,of
6,a
3,the
5,the
4,simulator
4,deterministic
2,question.fig:shelf
6,then
4,ht
3,posterior
4,theoretical
4,simulator
5,improvement
3,lh
4,emulator
6,further
4,a
6,informed
2,operational
4,and
4,non
2,local
7,be
6,of
4,for
3,about
6,a
4,and
3,assumed
5,prone
2,we
6,problem
5,after
7,an
2,non
5,be
7,utility
5,derivatives
4,given
4,although
2,and
5,or
5,the
6,app:resid2
6,be
4,in
5,can
2,components
6,ds
5,when
4,1
4,differ
3,of
5,function
3,obtain
5,space
4,their
6,that
4,take
3,emulation
6,warehouse
6,this
2,from
6,the
2,different
6,itemize
2,as
2,where
4,be
1,our
4,sml
4,not
4,the
3,the
5,systems
3,the
1,varying
6,which
2,many
5,trade
4,simulator
2,increasingly
3,common
5,of
6,many
5,prediction
6,posterior
3,our
2,we
5,a
6,if
5,that
3,a
5,the
4,bayesian
6,be
6,the
7,mentioned
4,where
3,2_t
4,classical
3,even
7,we
2,both
5,maximise
6,high
5,be
4,validation
1,sml
2,direct
4,equation
5,design
6,generated
6,that
3,equation
2,is
5,equation
5,question
2,wish
5,black
2,when
4,outlined
2,relevant
4,cells
6,the
6,constraint
6,the
7,willing
3,is
6,will
5,it
6,elicitation
3,and
6,a
6,of
5,leads
3,the
4,until
4,in
6,that
5,cannot
3,knowledge
6,the
2,is
2,is
3,appropriate
5,to
5,suppose
3,means
5,updates
4,a
3,values
6,2.47
5,expectation
6,initial
2,align
6,are
5,is
6,set
4,sample
3,with
6,two
6,that
2,quantities
4,tease
6,but
3,the
7,the
3,analysis
2,for
1,make
3,notation
4,c_v
5,left
2,warehouse
6,samples
3,either
4,the
5,the
6,take
3,each
2,a
6,the
2,lack
6,discrete
4,a
3,literature
3,of
2,the
6,three
5,in
3,these
3,does
6,value
5,diagram.pdf
4,the
3,points
5,effectivepscott2010
2,align
5,pmatrix
4,have
3,exhibiting
5,maximiser
5,proposal
1,development
6,possible
4,out
5,are
3,emulator
4,empirical
1,which
5,acquisition
5,the
5,precisely
5,of
3,other
2,to
6,emulator
3,a
3,to
3,from
3,for
4,the
4,the
4,align
1,has
2,be
3,totrasmussen2006gpfm
5,construct
4,on
2,experts
5,utility
5,in
4,covariance
5,equation
6,the
2,y_j
6,all
6,this
4,input
2,all
3,capture
6,chooses
4,same
5,use
5,is
3,we
1,a
5,version
5,relatively
4,time
2,parts
2,the
5,uncertainty
3,the
5,waves
5,see
4,normality
1,wind
2,of
6,greater
6,equation
4,availabilities
4,probabilistic
7,probability
2,of
2,a
1,facilitated
6,we
6,c_3
6,no
5,the
5,for
7,implementing
4,also
3,ml
4,the
5,optimal
5,can
3,linear
5,design
4,all
4,typically
7,suited
4,therefore
7,some
4,whereas
2,time
6,if
6,honoured
5,correspond
6,results
1,to
6,time
3,eq:toy
4,simulations
4,deterministic
4,the
5,probabalistic
2,of
3,is
5,acquisition
5,off
5,can
2,probability
6,can
3,distribution
6,when
1,hours
5,nroy
5,obvious
2,utility
3,none
5,root
1,and
7,the
2,what
6,samples
2,close
3,trend
3,ones
4,the
4,that
1,simulator
4,a
6,the
2,where
2,sec:athena
4,but
3,than
5,global
4,our
5,depends
5,taken
4,oftgratiet2015
2,farm
2,is
6,a
3,and
4,as
3,seems
4,plug
3,to
2,optimising
6,running
4,originated
2,and
2,can
2,is
5,are
4,emulator
3,the
6,that
2,conduct
3,a
1,simulators
4,the
2,time
2,performing
6,implaus
2,approaches
7,elicitation
3,support
4,mean
6,at
5,extensions
6,vertical
5,are
2,equivalence
4,_e
5,literature
5,simulator
3,_tf_t
4,the
4,the
4,unless
6,u
6,that
5,this
3,patterns
5,the
6,availability
5,we
6,sum
3,tied
6,to
3,observed
6,equally
5,complex
3,bayesian
6,as
2,component
5,component
6,design
3,emulator
6,with
6,fitting
4,as
3,simulator
4,region
2,that
6,specify
7,f_t
3,computational
6,these
6,but
2,different
5,physical
5,x
5,optim
4,on
4,tractable
6,limited
4,variance
3,by
2,two
6,the
5,no
3,we
1,of
2,we
4,under
5,increases
5,when
2,where
3,f_t
3,in
6,optimal
5,eq:prob
2,th
6,be
7,useful
5,numerically
2,respect
4,since
3,requires
3,the
6,nroy
2,a
5,implemented
2,and
6,for
2,probability
3,how
3,bottom
5,is
3,even
4,independent
5,larger
7,at
5,large
6,this
6,on
4,lines
4,h_v
2,may
6,for
4,they
3,of
4,design
4,sets
2,transformer
5,is
6,approachpgonzalez2018
4,ideal
6,is
6,it
6,dm
6,stochastic
6,that
3,function
3,financial
5,has
5,thus
7,developed
3,i
3,the
5,as
6,decisions
3,not
4,the
6,where
5,optimisation
4,a
5,next
5,2x
6,been
5,in
2,and
5,be
3,can
1,uncertainty
6,terminate
2,or
7,in
3,this
7,the
5,functions
4,intuition
4,s
6,solid
6,spare
5,maximiser
2,aim
3,between
6,is
2,all
3,1
2,designed
5,problem
2,is
3,inputs
6,our
6,crosses
2,the
6,not
2,on
5,the
5,by
6,constructed
6,want
2,necessary
4,e
2,opens
5,this
3,emulator
5,maximised
5,tuning
3,which
6,lines
7,of
6,details
6,for
1,to
6,set
4,an
6,of
3,assumptionspgramacy12
7,offer
2,a
7,methods
4,hetgp
5,the
5,runs
2,elicit
4,2
3,noise
2,to
5,uncertainty
5,to
4,is
2,there
5,but
5,was
2,fig:bathtub
3,of
4,then
2,knowledge
6,the
7,utility
5,_n
2,are
3,emulator
2,as
3,local
2,a
6,the
2,higher
5,be
6,equation
5,a
6,the
3,gp
3,around
6,larger
6,which
4,mcmc
2,consuming
2,can
4,a
3,we
6,support
5,frequentist
6,time
6,which
4,at
6,series
3,covariance
6,there
2,is
5,space
4,other
6,nroy
6,residuals
5,salesman
6,for
6,on
6,than
6,the
2,order
2,calculates
3,function
3,cases
6,then
1,this
3,offers
4,smooth
6,notion
5,strategy
3,equation
3,to
6,emulator
5,techniques
6,will
4,is
5,more
4,log
2,task
5,simulator
6,this
5,the
3,function
5,and
3,to
5,in
2,by
3,rmse
6,their
5,but
2,may
6,of
4,expensive
4,is
2,for
4,parameter
5,by
5,under
4,align
3,the
4,between
4,the
1,multilevel
4,the
6,will
4,grid
6,or
5,the
1,to
5,problem
3,always
2,specify
6,to
4,an
6,that
3,to
5,is
4,x
3,a
6,functionpsmith2010
6,decision
3,model
3,process
6,follow
3,to
2,_l
2,ht
6,is
3,more
3,multilevel
